,link,title,country,region,date,lead_par
461,https://www.theguardian.com/uk-news/2022/feb/28/boris-johnson-urged-by-tory-mps-to-do-more-for-ukraine-refugees,Priti Patel refuses to waive all visa rules for Ukraine refugees ,Ukraine,N/A,2022-02-28T22:55:14Z,Home secretary cites concerns over extremists and Russian agents entering UK amid growing unrest among Tory MPs
462,https://www.theguardian.com/world/2022/feb/14/ukraine-quashes-suggestion-it-could-drop-nato-plans-to-avoid-war-with-russia-putin,Ukraine quashes suggestion it could drop Nato plans to avoid war,Ukraine,N/A,2022-02-14T10:02:34Z,Ambassador backtracks after appearing to say country could be forced by Russia to shelve Nato ambition
463,https://www.theguardian.com/technology/2022/feb/28/facebook-takes-down-disinformation-network-targeting-ukraine-meta-instagram,Facebook takes down Ukraine disinformation network and bans Russian-backed media,Ukraine,N/A,2022-02-28T21:02:58Z,Meta says network ran websites posing as independent news entities and created fake personas
464,https://www.theguardian.com/world/2022/feb/14/ukraine-crisis-scholz-heads-to-kyiv-amid-fears-invasion,Ukraine crisis: Scholz heads to Kyiv amid fears invasion is imminent,Ukraine,N/A,2022-02-14T05:27:57Z,German chancellor is expected to talk about how to stabilise Ukraine’s economy as tensions rock global stock markets
465,https://www.theguardian.com/world/2022/feb/28/ukraine-conflict-leads-eu-to-rid-itself-of-russian-sacred-cows,Ukraine conflict leads EU to rid itself of Russian sacred cows ,Ukraine,N/A,2022-02-28T15:51:24Z,Analysis: Images of war  US and UK allies and Volodymyr Zelenskiy have all helped create a new political necessity
466,https://www.theguardian.com/business/2022/feb/28/uk-banks-shares-ftse-100-russia-sanctions-ukraine,Rollercoaster day for shares after Russia hit with sanctions over Ukraine,Ukraine,N/A,2022-02-28T10:29:09Z,Banks lose out as investors switch to defence stocks  and gas prices on global markets jump almost 20%
467,https://www.theguardian.com/world/2022/feb/04/record-covid-cases-in-russia-and-ukraine-complicate-conflict-situation,Record Covid cases in Russia and Ukraine complicate military plans,Ukraine,N/A,2022-02-04T15:06:11Z,Spread of Omicron variant cited as another factor that could determine whether Moscow launches offensive
468,https://www.theguardian.com/commentisfree/2022/mar/24/putin-war-ukraine-nato-moscow-escalation,Putin may ramp up his war in Ukraine – here’s how Nato should respond | Ivo Daalder,Ukraine,N/A,2022-03-24T12:00:57Z,It is vital Moscow understands that escalation will not be risk-free  and expects a proportionate response
469,https://www.theguardian.com/business/2022/mar/22/uk-manufacturers-prices-ukraine-war-cbi-rishi-sunak-spring-statement,Record numbers of UK manufacturers raise prices as Ukraine war hits costs,Ukraine,N/A,2022-03-22T16:21:48Z,CBI calls on Rishi Sunak to use spring statement to help firms facing high energy bills and other pressures
470,https://www.theguardian.com/world/2022/feb/03/why-does-russia-focus-on-indivisible-security-in-ukraine-standoff,Why does Russia focus on ‘indivisible security’ in Ukraine standoff?,Ukraine,N/A,2022-02-03T15:03:22Z,Nato expansion threatens Russian security  argues Putin  and views of states outside Nato must be taken into account
471,https://www.theguardian.com/world/2022/mar/15/polish-czech-and-slovenian-prime-ministers-travel-to-kyiv-ukraine,‘Europe stands with you’: EU leaders vow support for Ukraine during Kyiv visit,Ukraine,N/A,2022-03-16T01:10:32Z,Leaders of Poland  the Czech Republic and Slovenia express ‘unequivocal support’ for Ukraine after making perilous journey by train to meet Zelenskiy
472,https://www.theguardian.com/technology/2022/mar/03/ukraine-airbnbs-booked-in-effort-to-get-money-to-residents-pay-not-stay,Ukraine Airbnbs being booked in effort to get money to residents,Ukraine,N/A,2022-03-03T16:27:42Z,People are paying but not staying  as rental platform offers free housing to 100 000 Ukrainian refugees
473,https://www.theguardian.com/world/2022/apr/01/russia-ukraine-war-what-we-know-on-day-37-of-the-russian-invasion,Russia-Ukraine war: what we know on day 37 of the Russian invasion,Ukraine,N/A,2022-04-01T01:23:26Z,US says invasion has been ‘strategic disaster’ for Moscow and Putin is isolated as peace talks due to resume
