,title,url,lead_par,date,country,region
1602,"Vladimir Putin waves the flag in a polarised country where views are hard to shift",https://www.theguardian.com/world/2022/mar/19/vladimir-putin-waves-the-flag-in-a-polarised-country-where-views-are-hard-to-shift,"The west hopes support for the invasion of Ukraine is wavering. But as Friday’s rally showed protesters remain in a minority",2022-03-19T19:00:54Z,Russia,None
1603,"‘They’re lying to you’: Russian TV employee interrupts news broadcast",https://www.theguardian.com/world/2022/mar/14/russian-tv-employee-interrupts-news-broadcast-marina-ovsyannikova,"Marina Ovsyannikova ran on to the set of the Channel One transmission shouting: ‘Stop the war. No to war’",2022-03-14T20:49:02Z,Russia,None
1604,"Morrison government asks Facebook Twitter and Google to block Russian state media ‘disinformation’",https://www.theguardian.com/world/2022/mar/03/morrison-government-asks-facebook-twitter-and-google-to-block-russian-state-media-disinformation,"Communications minister writes to tech giants about ‘content promoting violence extremism and disinformation in relation to the Russian invasion of Ukraine’",2022-03-03T08:34:39Z,Russia,None
1605,"Morrison government asks Facebook Twitter and Google to block Russian state media ‘disinformation’",https://www.theguardian.com/world/2022/mar/03/morrison-government-asks-facebook-twitter-and-google-to-block-russian-state-media-disinformation,"Communications minister writes to tech giants about ‘content promoting violence extremism and disinformation in relation to the Russian invasion of Ukraine’",2022-03-03T08:34:39Z,Russia,None
1606,"‘Key to white survival’: how Putin has morphed into a far-right savior",https://www.theguardian.com/us-news/2022/mar/05/putin-ukraine-invasion-white-nationalists-far-right,"The Russian president’s ‘strong man’ image and disdain for liberals has turned him into a hero for white nationalists",2022-03-05T07:00:18Z,Russia,None
1607,"Why do Putin Trump Tucker Carlson and the Republican party sound so alike? | Robert Reich",https://www.theguardian.com/commentisfree/2022/mar/29/putin-trump-tucker-carlson-republican-party,"Putin’s lies and the lies coming from America’s extreme right are mutually supporting. There’s a reason for that",2022-03-29T10:18:04Z,Russia,None
1608,"As a Russian I don’t know how to live with the shame of Putin’s aggression | Anonymous",https://www.theguardian.com/commentisfree/2022/feb/24/russian-vladimir-putin-ukraine,"Younger Russians condemn all violence against Ukraine. But protest is impossible: we feel like hostages in our own country",2022-02-24T12:53:26Z,Russia,None
1609,"Vladimir Putin waves the flag in a polarised country where views are hard to shift",https://www.theguardian.com/world/2022/mar/19/vladimir-putin-waves-the-flag-in-a-polarised-country-where-views-are-hard-to-shift,"The west hopes support for the invasion of Ukraine is wavering. But as Friday’s rally showed protesters remain in a minority",2022-03-19T19:00:54Z,Russia,None
1610,"Tuesday briefing: Kyiv explosions as ceasefire talks to resume",https://www.theguardian.com/world/2022/mar/15/tuesday-briefing-us-china-russia,"Americans hold ‘intense’ meeting with Beijing delegation in Rome … UK Covid travel curbs to end … and how not to doomscroll",2022-03-15T06:30:29Z,Russia,None
1611,"The Fiver | Mandela Gandhi … Infantino? Yes it’s Fifa Congress time again",https://www.theguardian.com/football/2022/mar/31/the-fiver-fifa-gianni-infantino-human-rights-world-cup-qatar,"Sign up now! Sign up now! Sign up now? Sign up now!",2022-03-31T15:20:02Z,Russia,None
1612,"Ukraine crisis brings British intelligence out of the shadows",https://www.theguardian.com/world/2022/feb/18/ukraine-crisis-bring-british-intelligence-out-of-the-shadow-warning-russian-invasion-information-war-with-kremlin,"Analysis: warnings of Russian invasion issued in bid to shape the narrative and win information war with Kremlin",2022-02-18T18:44:03Z,Russia,None
1613,"Fuel and food prices set to rise as Russian invasion affects Australia’s economy",https://www.theguardian.com/business/2022/mar/09/fuel-and-food-prices-set-to-rise-as-russian-invasion-affects-australias-economy,"Reliance on commodity exports may assist country as world scrambles to find non-Russian sources of energy metals and food",2022-03-08T16:30:08Z,Russia,None
1614,"Petropavlovsk investors could be wiped out by sale warns mining firm ",https://www.theguardian.com/business/2022/apr/14/petropavlovsk-investors-could-be-wiped-out-by-sale-warns-mining-firm,"London-listed company facing financial pressures after UK placed sanctions on key Russian client",2022-04-14T09:57:30Z,Russia,None
1615,"Flood of Russian misinformation puts tech companies in the hot seat",https://www.theguardian.com/media/2022/feb/28/facebook-twitter-ukraine-russia-misinformation,"With Facebook and other platforms key to spreading news from Ukraine officials and activists urge broader crackdown",2022-03-01T06:00:12Z,Russia,None
1616,"Kremlin memos urged Russian media to use Tucker Carlson clips – report",https://www.theguardian.com/media/2022/mar/14/kremlin-memos-russian-media-tucker-carlson-fox-news-mother-jones,"Russian government document instructed outlets to show Fox News host ‘as much as possible’ Mother Jones says",2022-03-14T04:00:47Z,Russia,None
1617,"Why do Putin Trump Tucker Carlson and the Republican party sound so alike? | Robert Reich",https://www.theguardian.com/commentisfree/2022/mar/29/putin-trump-tucker-carlson-republican-party,"Putin’s lies and the lies coming from America’s extreme right are mutually supporting. There’s a reason for that",2022-03-29T10:18:04Z,Russia,None
1618,"Mariupol bombing: before and after satellite images show destruction in Ukraine city",https://www.theguardian.com/world/2022/mar/10/mariupol-bombing-ukraine-before-and-after-satellite-images-map-russian-attack-residential-maternity-childrens-hospital,"More than 1000 people have been killed by Russian shelling says mayor amid outcry over attacks on residential areas and maternity hospital",2022-03-10T03:55:22Z,Russia,None
1619,"Rishi Sunak defends Boris Johnson from fury over remarks on Brexit and Ukraine",https://www.theguardian.com/politics/2022/mar/20/rishi-sunak-defends-boris-johnsons-remarks-about-brexit-and-ukraine,"PM said leave vote was example of instinct to ‘choose freedom’ but chancellor says it is ‘obviously not analogous’ to Ukraine war",2022-03-20T10:05:28Z,Russia,None
1620,"Ukrainians protest at Downing Street gates over Russian invasion",https://www.theguardian.com/uk-news/2022/feb/24/ukrainians-protest-at-downing-street-gates-over-russian-invasion-uk-military-sanctions,"Shock anger defiance and calls for UK military boots on the ground as well as ‘sweeping sanctions’",2022-02-24T16:43:20Z,Russia,None
1621,"Meet Natalya Sindeyeva – has she got news for Vladimir Putin",https://www.theguardian.com/film/2022/feb/20/natalya-sindeyeva-russian-tv-dozhd-rain-fuck-this-job-putin,"A new documentary reveals how the director of Russia’s only independent TV channel refused to be cowed by the Kremlin and struggled to bring the truth to her audience",2022-02-20T13:00:04Z,Russia,None
1622,"Morrison government asks Facebook Twitter and Google to block Russian state media ‘disinformation’",https://www.theguardian.com/world/2022/mar/03/morrison-government-asks-facebook-twitter-and-google-to-block-russian-state-media-disinformation,"Communications minister writes to tech giants about ‘content promoting violence extremism and disinformation in relation to the Russian invasion of Ukraine’",2022-03-03T08:34:39Z,Russia,None
