,link,title,country,region,date,lead_par
767,https://www.theguardian.com/us-news/2022/mar/11/first-thing-russian-forces-have-killed-more-civilians-than-soldiers,Russian forces ‘have killed more civilians than soldiers’ | First Thing,Russia,N/A,2022-03-11T10:48:24Z,Zelenskiy calls Russia a ‘terrorist state’ as bombs hit cities further west. Plus  the chefs cooking in solidarity with Ukraine
768,https://www.theguardian.com/film/2022/apr/01/sean-penn-calls-for-billionaire-to-step-up-and-buy-aircraft-for-ukraine,Sean Penn calls for billionaire to step up and buy aircraft for Ukraine,Russia,N/A,2022-04-01T16:16:10Z,Actor urges someone to spend $300m on ‘12 aircraft with better tech than Russian MiGs or SU’s’
769,https://www.theguardian.com/world/2022/mar/10/narendra-modi-walks-diplomacy-tightrope-with-vladimir-putin-on-ukraine,Narendra Modi walks diplomacy tightrope with Vladimir Putin on Ukraine,Russia,N/A,2022-03-10T05:00:04Z,Analysis: Indian PM is reliant on Putin’s nation for arms and is conscious of shifting relations between Russia and its foe  China
770,https://www.theguardian.com/world/2022/mar/14/russian-gas-oil-boycott-mass-poverty-warns-germany,Boycott of Russian gas and oil ‘could cause mass poverty in Germany’,Russia,N/A,2022-03-14T13:51:49Z,Minister warns an immediate stop to supplies could hurt Germany’s population more than Putin
771,https://www.theguardian.com/world/2022/mar/31/ukraine-in-fresh-effort-to-evacuate-mariupol-after-red-cross-warnings,Ukraine in fresh effort to evacuate Mariupol after Red Cross warnings,Russia,N/A,2022-03-31T17:00:31Z,Humanitarian charity says thousands of civilian lives in danger if they remain in besieged port city
772,https://www.theguardian.com/world/2022/mar/31/close-ties-allow-russia-propaganda-to-spread-through-china,Close ties allow Russian propaganda to spread swiftly through China report claims,Russia,N/A,2022-03-31T10:50:48Z,A cyber monitoring group says Chinese sources are amplifying disinformation about Ukrainian ‘nazism’
773,https://www.theguardian.com/politics/2022/apr/05/labour-calls-for-russian-ambassador-to-be-expelled-over-alleged-war-crimes,Labour calls for Russian ambassador to be expelled after Bucha atrocities,Russia,N/A,2022-04-05T12:22:50Z,Shadow foreign secretary condemns ‘sickening actions committed by Putin and his cronies’ in Ukraine
774,https://www.theguardian.com/politics/live/2022/feb/25/uk-politics-live-boris-johnson-russia-invasion-ukraine-latest-updates,UK politics live: Boris Johnson imposes sanctions against Putin and Lavrov – as it happened ,Russia,N/A,2022-02-25T23:24:53Z,Latest updates: PM also urges leaders to take ‘immediate action’ to ban Russia from Swift payment system; sending Nato forces to Ukraine would risk leading to ‘existential’ threat  says minister
775,https://www.theguardian.com/australia-news/2022/mar/10/my-parents-are-in-bomb-shelters-ukrainian-embassy-head-urges-australia-to-expel-russian-ambassador,‘My parents are in bomb shelters’: Ukrainian embassy head urges Australia to expel Russian ambassador,Russia,N/A,2022-03-10T07:05:34Z,Volodymyr Shalkivskyi says he cannot be ‘diplomatically polite’ and calls for stronger action against Russia in emotive plea at National Press Club
776,https://www.theguardian.com/world/2022/apr/04/why-did-they-do-this-to-us-buchas-survivors-come-out-of-hiding,‘Why did they do this to us?’: Bucha’s survivors come out of hiding,Russia,N/A,2022-04-04T20:50:58Z,With the Russians gone  the Ukrainian town’s inhabitants are trying to make sense of the carnage and horror they witnessed
777,https://www.theguardian.com/commentisfree/2022/feb/18/kyiv-war-everyday-life-russia-ukraine,In Kyiv we remain fearless. But war is becoming a backdrop to everyday life | Nataliya Gumenyuk,Russia,N/A,2022-02-18T14:43:24Z,To stop Russia  Ukrainians must show  for as long as possible  that we are unconquerable
778,https://www.theguardian.com/world/2022/apr/03/all-wars-are-like-this-used-as-a-weapon-of-war-in-ukraine,Rape as a weapon: huge scale of sexual violence inflicted in Ukraine emerges,Russia,N/A,2022-04-04T14:39:52Z,Women and girls have recounted the abuse they have suffered at the hands of Russian soldiers
779,https://www.theguardian.com/world/2022/feb/25/prominent-russians-join-protests-against-ukraine-war-amid-1800-arrests-putin,Prominent Russians join protests against Ukraine war amid 1800 arrests,Russia,N/A,2022-02-25T17:10:33Z,As invasion continues  people from worlds of entertainment  business and journalism voice opposition
780,https://www.theguardian.com/football/2022/mar/23/the-fiver-football-alliances-euro-2028-chickens-counted-before-they-hatch-russia,The Fiver | Football alliances and Euro 2028 chickens counted before they hatch,Russia,N/A,2022-03-23T16:18:20Z,Like this? Forward it to your friend(s) and they can sign up here
781,https://www.theguardian.com/world/2022/mar/01/uk-announces-first-wave-of-sanctions-against-belarus,UK announces first wave of sanctions against Belarus,Russia,N/A,2022-03-01T20:05:10Z,Senior military figures targeted for role in joining and facilitating Russian invasion of Ukraine
