,title,url,lead_par,date,region
15,At least 239 pro-government forces and 77 civilians were killed in Afghanistan in January.,https://www.nytimes.com/2021/01/07/world/asia/afghan-war-casualties-january-2021.html,"At least 33 pro-government forces and 13 civilians were killed in Afghanistan the past week. The deadliest attack took place in Nangarhar Province, where a Taliban roadside bomb hit a military vehicle in the Gorgori area of Deh Bala District, killing six border soldiers. In Faryab Province, a roadside bomb hit a Humvee in the center of Almar District, killing five soldiers.",2021-01-07T19:34:41+0000,Asia Pacific
16,"A poet, scholar, historian, critic and novelist, he was credited with the revival of Urdu literature, especially from the 18th and 19th centuries. He died of Covid-19.",https://www.nytimes.com/2021/01/07/world/asia/shamsur-rahman-faruqi-dead.html,This obituary is part of a series about people who have died in the coronavirus pandemic. Read about others here.,2021-01-07T19:39:49+0000,Asia Pacific
17,"A physicist and entrepreneur who cut an imposing figure, he did more than anyone to make optical research a priority in government and corporate budgets.",https://www.nytimes.com/2021/01/07/technology/narinder-s-kapany-dead.html,"When Narinder S. Kapany was in high school in the 1940s in Dehradun, an Indian city in the Himalayan foothills, his science teacher told him that light travels only in straight lines. By then he had already spent years playing around with a box camera, and he knew that light could at least be turned in different directions, through lenses and prisms. Something about the teacher’s attitude, he later said, made him want to go further, to prove him wrong by figuring out how to actually bend light.",2021-01-07T20:10:08+0000,Asia Pacific
18,"Abu Bakar Bashir, 82, the spiritual leader of an extremist group that bombed churches, hotels and a Bali nightclub in the 2000s, is released after 10 years behind bars.",https://www.nytimes.com/2021/01/07/world/asia/Abu-Bakar-Bashir-bali-bombing-freed.html,"BANGKOK — One of Indonesia’s most notorious terrorists, the Muslim cleric Abu Bakar Bashir, was released from prison on Friday after serving more than 10 years of a 15-year sentence for helping establish a terrorist training camp.",2021-01-08T00:42:53+0000,Asia Pacific
19,"The ruling, which the Japanese government rejected, is likely to aggravate already chilly relations between the two key allies of the United States.",https://www.nytimes.com/2021/01/07/world/asia/south-korea-comfort-women-japan.html,"SEOUL, South Korea — A South Korean court on Friday ordered the Japanese government to pay $91,800 each to 12 Korean women forced into sexual slavery for Japan’s troops during World War II. The ruling, the first of its kind in South Korea, is likely to aggravate the already chilly relations between Washington’s two key allies in Asia.",2021-01-08T04:37:40+0000,Asia Pacific
20,A court case in China highlights the challenges for women there who accuse prominent men of sexual misconduct.,https://www.nytimes.com/2021/01/08/world/asia/china-metoo-defamation.html,"More than two years ago, He Qian, a former journalist in China, came forward with accusations of sexual assault against a well-known reporter. Her story circulated widely on the internet, helping give force to China’s burgeoning #MeToo movement.",2021-01-08T12:13:06+0000,Asia Pacific
21,"The sentences, stemming from an attack on a journalist for China’s state news media, were the heaviest yet in connection with the 2019 protests, a lawyer said.",https://www.nytimes.com/2021/01/08/world/asia/hong-kong-protests-airport.html,HONG KONG — A Hong Kong court on Friday sentenced two men and one woman to several years in prison for assaulting a Chinese state media reporter during a protest that paralyzed the territory’s international airport in 2019.,2021-01-08T13:31:59+0000,Asia Pacific
22,"The destruction of the trees, planted by a Japanese cultural center to commemorate a 1994 visit by the emperor and empress of Japan, was captured on surveillance footage.",https://www.nytimes.com/2021/01/08/us/japantown-cherry-blossom-trees.html,A pair of cherry blossom trees that have brightened the entrance to a Japanese cultural center in San Francisco since the 1990s won’t be in bloom this spring.,2021-01-08T23:03:53+0000,Asia Pacific
23,"A large study of patients from a Wuhan, China, hospital showed that a half-year later, three-quarters were struggling with problems like fatigue, depression and diminished lung function.",https://www.nytimes.com/2021/01/08/health/Covid-survivors-longterm.html,"For millions of coronavirus survivors, it’s an increasingly important question: How common, how serious and how long-lasting are the physical and mental aftereffects of Covid-19?",2021-01-08T23:30:10+0000,Asia Pacific
24,"But as he pledged to advance the country’s weaponry, the North Korean leader also said he did “not rule out diplomacy.”",https://www.nytimes.com/2021/01/08/world/asia/kim-nuclear-north-korea.html,"SEOUL, South Korea — North Korea’s leader, Kim Jong-un, vowed to advance his country’s nuclear capabilities, declaring that it will build land- and submarine-launched solid-fuel intercontinental ballistic missiles, as well as making its nuclear missiles smaller, lighter and more precise, the North’s state media reported on Saturday.",2021-01-09T01:35:33+0000,Asia Pacific
25,"The Boeing 737-500, a Sriwijaya Air flight, had taken off from Jakarta, the capital. Officials said they found body parts and possibly part of the wreckage.",https://www.nytimes.com/2021/01/09/world/asia/indonesia-plane-crash.html,[Read more on the Indonesia plane crash.],2021-01-09T11:01:51+0000,Asia Pacific
26,An order issued on Saturday empowers Beijing to tell companies to ignore U.S. restrictions and allows them to sue other businesses if they comply.,https://www.nytimes.com/2021/01/09/business/china-rules-trump-biden-sanctions.html,China fired back at the Trump administration on Saturday with new rules that would punish global companies for complying with Washington’s tightening restrictions on doing business with Chinese companies.,2021-01-09T11:20:08+0000,Asia Pacific
27,"In Seoul, Beijing and elsewhere, temperatures neared or exceeded record lows this week.",https://www.nytimes.com/2021/01/09/world/asia/asia-record-cold.html,"SEOUL, South Korea — Seoul usually gets cold in winter, but not like this.",2021-01-09T11:31:12+0000,Asia Pacific
28,"Users of major mobile carriers can no longer access a service that detailed the personal information of police officers, a possible sign that the city is turning to tactics used in mainland China.",https://www.nytimes.com/2021/01/09/technology/hong-kong-website-blocked.html,"Hong Kong’s biggest mobile telecom companies appear to have severed access to a website that listed the personal information of police officers, setting off fears that the authorities may use a new national security law to adopt censorship tactics widely used in mainland China.",2021-01-09T16:28:54+0000,Asia Pacific
