,title,url,lead_par,date,region
18, "Ukraine leader Volodymyr Zelensky calls for global protests to reject Russian war", https://www.upi.com/Top_News/World-News/2022/03/24/ukraine-volodymyr-zelensky-russia-war-protests/1791648126686/, "March 24 (UPI) -- Ukrainian President Volodymyr Zelensky called for worldwide protests on Thursday that condemn Russia for its invasion into Ukraine, and for killing civilians and children over the past month.", March 24 2022, Ukraine
19, "Russia restricts Google News, alleges false Ukraine war news", https://www.upi.com/Top_News/World-News/2022/03/24/restricts-google-news-ukraine-war/3471648127098/, "March 24 (UPI) -- Russia's media regulator has restricted access to Google News, alleging it is conveying "false" news about Russia's Ukraine invasion.", March 24 2022, Ukraine
20, "Use naming, shaming to disrupt Vladimir Putin's 'strong man' attitude", https://www.upi.com/Voices/2022/03/24/Vladimir-Putin-psychology-destructive-leadership-Ukraine/1221648124180/, "March 24 (UPI) -- What exactly is the psychology behind Russian President Vladimir Putin's destructive leadership, and what can we do to counteract its negative effects?", March 24 2022, Ukraine
21, "Biden: NATO 'would respond' if Russia uses chemical weapons in Ukraine", https://www.upi.com/Top_News/World-News/2022/03/24/belgium-Biden-Europe-trip-NATO-summit/9321648110219/, "March 24 (UPI) -- U.S. President Joe Biden said Thursday that NATO would respond if Russia used chemical weapons in its invasion of Ukraine after attending a summit held by the alliance in Brussels.", March 24 2022, Ukraine
22, "EU announces aid for refugees, companies, economies affected by Ukraine war", https://www.upi.com/Top_News/World-News/2022/03/24/Belgium-EU-Ukraine-measures-refguees-sanctions/7531648093631/, "March 23 (UPI) -- The European Union announced a slew of Ukraine-related measures, aimed at bolstering not only the besieged nation's military but also the capacity of neighboring countries to accept refugees.", March 24 2022, Ukraine
23, "Authorities pull former Trump aide Paul Manafort off plane over passport", https://www.upi.com/Top_News/US/2022/03/23/Paul-Manafort-passport-Dubai/6431648057489/, "March 23 (UPI) -- Paul Manafort, a one-time aide to former President Donald Trump, was removed from a flight in Florida earlier this week because he had a revoked passport, authorities said Wednesday.", March 23 2022, Ukraine
24, "MacKenzie Scott announces $3.86B in donations to 465 groups over past 9 months", https://www.upi.com/Top_News/US/2022/03/23/MacKenzie-Scott-donations/3541648068407/, "March 23 (UPI) -- Philanthropist MacKenzie Scott announced Wednesday that she donated $3.86 billion to 465 non-profit groups over the past nine months.", March 23 2022, Ukraine
25, "U.S. State Department: Russia has committed war crimes in Ukraine", https://www.upi.com/Top_News/US/2022/03/23/russian-war-crimes-ukraine-antony-blinken/3591648064397/, "March 23 (UPI) -- U.S. Secretary of State Antony Blinken said Wednesday that the U.S. government "assesses that members of Russia's armed forces have committed war crimes in Ukraine."", March 23 2022, Ukraine
26, "Senior adviser to Russian President Putin resigns in wake of Ukraine invasion", https://www.upi.com/Top_News/World-News/2022/03/23/Anatoly-Chubais-resigns-senior-Putin-envoy/4321648057805/, "March 23 (UPI) -- Russian climate envoy Anatoly Chubais has resigned, the Kremlin confirmed Wednesday, marking the first senior adviser to President Vladimir Putin to leave his post since the invasion of Ukraine.", March 23 2022, Ukraine
27, "Chef Jose Andres plans paella dinner for Axiom space voyage in April", https://www.upi.com/Science_News/2022/03/23/chef-Jose-Andres-Ukraine-space/8471648050590/, "March 23 (UPI) -- Meals are set to get more exciting at the International Space Station next month as celebrity chef Jose Andres and his company ThinkFoodGroup will send two dinners to space, as a multinational crew launches to the ISS.", March 23 2022, Ukraine
28, "Ukraine says Russia's agreed to open more escape corridors; Poland expels Russian diplomats", https://www.upi.com/Top_News/World-News/2022/03/23/ukraine-russia-war-mariupol-humanitarian-corridors/1111648032964/, "March 23 (UPI) -- Ukraine agreed on Wednesday to a new deal with Russia to open several humanitarian corridors that can be used to evacuate refugees, officials said as Russia kept up attacks across the country.", March 23 2022, Ukraine
29, "Biden lands in Belgium for NATO summit on Russian war in Ukraine, will also visit Poland", https://www.upi.com/Top_News/US/2022/03/23/joe-biden-visit-belgium-poland-russia-war-ukraine/4561647999044/, "March 23 (UPI) -- President Joe Biden departed for Europe on Wednesday, where he is first set to hold talks with NATO allies in Belgium over Russia's ongoing war in Ukraine.", March 23 2022, Ukraine
30, "Below the radar: failing democracies, Pakistani turmoil and spread of nukes", https://www.upi.com/Voices/2022/03/23/Harlan-Ullman-Ukraine-Russia-under-the-radar/2251647873684/, "American transfixion on Ukraine does not mean other events are on hold and other forces are not at work globally.", March 23 2022, Ukraine
31, "First Ukrainian children with cancer arrive in U.S. for treatment", https://www.upi.com/Top_News/US/2022/03/23/Ukrainian-children-cancer-patients-arrive/8621648014614/, "March 23 (UPI) -- Memphis' St. Jude Children's Research Hospital receives four Ukrainian children with cancer, the first to arrive from the war in the United States.", March 23 2022, Ukraine
32, "Ukrainian President Volodymyr Zelensky invites Pope Francis to visit Kyiv", https://www.upi.com/Top_News/World-News/2022/03/22/ukraine-president-zelensky-speaks-with-pope-italian-PM-endorses-EU-bid/7721647979979/, "March 22 (UPI) -- Ukrainian President Volodymyr Zelensky spoke Tuesday with Pope Francis, who offered to mediate with Russia to help end the invasion, as Italy's prime minister voiced support of Ukraine's bid to join the European Union.", March 22 2022, Ukraine
